Kids_First_Biospecimen_ID,tp53_score,tp53_expression,tp53_altered,altered_counts
BS_014EVM2D,0.3999033678799066,20.57,other,866
BS_02NZT8CE,0.2749386458761199,21.72,other,866
BS_03FT4S8B,0.4910439357465411,36.74,other,866
BS_0448A413,0.01747543560081113,51.82,other,866
BS_044XZ8ST,0.1211456804036577,16.49,other,866
BS_052PZFMK,0.933048456534602,2.43,lost,100
BS_063ERW0R,0.5150655431363332,5.74,other,866
BS_06AMMCXR,0.22651272007410544,28.14,other,866
BS_06XH7EVF,0.16199294121878363,22.4,other,866
BS_07ANYSYQ,0.5692852073498403,14.56,other,866
BS_09R7GDA7,0.6112315046343291,6.73,other,866
BS_09Z7TC35,0.8326063384595583,18.51,other,866
BS_0BXY0F9N,0.6472821110175565,9.32,lost,100
BS_0C7VZC0A,0.4885325188335207,11.89,other,866
BS_0GDJQANN,0.2969671551985909,16.84,other,866
BS_0HW7W7SD,0.5307246541623767,39.56,other,866
BS_0J9SHHSC,0.4849025979195119,13.73,other,866
BS_0QYS36NR,0.5550213268841795,26.16,other,866
BS_0RF0EZTV,0.26139533862032094,19.68,other,866
BS_0RQ4P069,0.4755519834794548,23.47,lost,100
BS_0SCXXM6N,0.34947877304769354,22.81,other,866
BS_0SPCTBZY,0.6973951809822685,29.66,other,866
BS_0T17SY47,0.5725710809645324,12.97,other,866
BS_0VRSD9V3,0.915523541197146,28.88,other,866
BS_0WQJP6ZG,0.5438080449913123,15.92,other,866
BS_0WVJYM9R,0.5731256318311654,7.85,other,866
BS_0X9EGHY2,0.5659725631008302,6.65,other,866
BS_0XEG6SNV,0.08967425749614104,14.62,other,866
BS_0Y66ZBWE,0.6600859147647735,5.12,other,866
BS_1021ZGQT,0.3799233635666271,35.41,other,866
BS_10APZRVT,0.09690273119841349,22.46,other,866
BS_11WY983P,0.6726641027778166,29.16,other,866
BS_13CGKADW,0.4649327934679348,8.3,other,866
BS_15ETQ0E4,0.36893598332586286,37.66,other,866
BS_1607397Q,0.5176300000957144,97.18,other,866
BS_17WYVEEC,0.5136103304019186,9.2,other,866
BS_196BBNEJ,0.7605418466526874,23.05,other,866
BS_1A6MQ9ZA,0.5175593399982857,13.94,other,866
BS_1AYRM596,0.7740658519101968,10.26,other,866
BS_1BWP5MCT,0.6146619408227635,26.26,other,866
BS_1D6PZNKN,0.9030247085388866,22.2,other,866
BS_1EBQ3T20,0.5307955827594965,67.93,other,866
BS_1EN5V3XW,0.8749334099361751,33.21,other,866
BS_1G3WYEN3,0.37110926590156035,16.09,other,866
BS_1HFK0SXV,0.48611351816551623,27.56,other,866
BS_1HQ76V6D,0.4444447843144047,29.48,other,866
BS_1J2WQ08M,0.5305226907590194,29.85,other,866
BS_1JDG6JV5,0.33580926279553064,25.71,other,866
BS_1KYGSMA7,0.34362643695262923,17.46,other,866
BS_1N9XZXGE,0.14859970207288284,47.81,other,866
BS_1NPD7PVG,0.06735696912212122,15.43,other,866
BS_1QNTEZPS,0.23215243476682898,26.79,other,866
BS_1QXEC43H,0.8599371090449631,73.64,other,866
BS_1RT76ANT,0.9043177428136974,24.94,other,866
BS_1RXZ3BP7,0.2395431227336718,18.53,other,866
BS_1SVVER1H,0.10484361922809214,18.25,other,866
