LeftBreakpoint	RightBreakpoint	FusionName	Sample	Caller	Fusion_Type	JunctionReadCount	SpanningFragCount	Confidence	annots	Gene1A	Gene2A	Gene1B	Gene2B	Gene1A_anno	Gene1B_anno	Gene2A_anno	Gene2B_anno	Fusion_anno
16:29082041	4:113174416	AC009093.3--ANK2	BS_014EVM2D	ARRIBA	other	4	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation	AC009093.3	NA	ANK2	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.9--ANK2	BS_014EVM2D	ARRIBA	other	4	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	AC009093.9	NA	ANK2	NA	NA	NA	NA	NA	NA
2:26928323	2:26924887	DPYSL5--DPYSL5	BS_014EVM2D	ARRIBA	in-frame	2	1	low	[SELFIE,INTRACHROMOSOMAL[chr2:0.10Mb]],duplication/non-canonical_splicing	DPYSL5	NA	DPYSL5	NA	NA	NA	NA	NA	NA
7:143360040	7:140787584	FAM131B--BRAF	BS_014EVM2D	ARRIBA	in-frame	5	1	high	[ChimerPub,Cosmic,ChimerKB,INTRACHROMOSOMAL[chr7:2.43Mb]],deletion	FAM131B	NA	BRAF	NA	CosmicCensus	Kinase, CosmicCensus, Oncogene, Kinase	NA	NA	NA
12:112651827	12:112646223	RPH3A--RPH3A	BS_014EVM2D	ARRIBA	other	3	0	low	[SELFIE,INTRACHROMOSOMAL[chr12:0.33Mb]],duplication	RPH3A	NA	RPH3A	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	RRN3P2--ANK2	BS_014EVM2D	ARRIBA	other	4	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	RRN3P2	NA	ANK2	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.3--ANK2	BS_02NZT8CE	ARRIBA	other	17	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation	AC009093.3	NA	ANK2	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.9--ANK2	BS_02NZT8CE	ARRIBA	other	17	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	AC009093.9	NA	ANK2	NA	NA	NA	NA	NA	NA
5:90985522	5:90965415	ADGRV1--ADGRV1	BS_02NZT8CE	ARRIBA	frameshift	11	0	low	[SELFIE,INTRACHROMOSOMAL[chr5:0.64Mb]],duplication/non-canonical_splicing	ADGRV1	NA	ADGRV1	NA	NA	NA	NA	NA	NA
9:22127402	9:22029433	CDKN2B-AS1(6305)/AL157937.1(76588)--CDKN2B-AS1	BS_02NZT8CE	ARRIBA	other	1	0	low	[],duplication	CDKN2B-AS1	AL157937.1	CDKN2B-AS1	NA	NA	NA	NA	NA	NA
3:178801793	3:178909706	KCNMB2-AS1--KCNMB2-AS1(49301)/ZMAT3(107517)	BS_02NZT8CE	ARRIBA	other	1	0	low	[],duplication	KCNMB2-AS1	NA	KCNMB2-AS1	ZMAT3	NA	NA	NA	NA	NA
16:29082041	4:113174416	RRN3P2--ANK2	BS_02NZT8CE	ARRIBA	other	17	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	RRN3P2	NA	ANK2	NA	NA	NA	NA	NA	NA
16:14932796	16:14766447	AC138932.1--AC136443.2	BS_03FT4S8B	ARRIBA	other	13	0	low	[INTRACHROMOSOMAL[chr16:0.14Mb]],duplication/5'-5'	AC138932.1	NA	AC136443.2	NA	NA	NA	NA	NA	NA
10:4889923	10:4830675	AKR1C6P--AKR1E2	BS_03FT4S8B	ARRIBA	other	3	0	high	[INTRACHROMOSOMAL[chr10:0.02Mb],LOCAL_INVERSION:-:+:[23839]],duplication/3'-3'	AKR1C6P	NA	AKR1E2	NA	NA	NA	NA	NA	NA
22:32276805	22:32268289	AL008723.1--SLC5A4-AS1	BS_03FT4S8B	ARRIBA	other	3	0	low	[INTRACHROMOSOMAL[chr22:0.00Mb],LOCAL_REARRANGEMENT:+:[3754]],duplication	AL008723.1	NA	SLC5A4-AS1	NA	NA	NA	NA	NA	NA
15:34488963	15:34490796	HNRNPLP2--HNRNPLP2(225)/FSCN1P1(3624)	BS_03FT4S8B	ARRIBA	other	7	1	medium	[],duplication	HNRNPLP2	NA	HNRNPLP2	FSCN1P1	NA	NA	NA	NA	NA
5:3531753	5:3566558	LINC01019--LINC01019(30464)/IRX1(29496)	BS_03FT4S8B	ARRIBA	other	2	1	high	[],duplication	LINC01019	NA	LINC01019	IRX1	NA	NA	NA	TumorSuppressorGene, TranscriptionFactor	NA
10:26193311	10:26173663	MYO3A--MYO3A	BS_03FT4S8B	ARRIBA	frameshift	3	0	low	[SELFIE,INTRACHROMOSOMAL[chr10:0.28Mb]],duplication/non-canonical_splicing	MYO3A	NA	MYO3A	NA	Kinase, Kinase	Kinase, Kinase	NA	NA	NA
16:14932796	16:14766447	NPIPA1--AC136443.2	BS_03FT4S8B	ARRIBA	other	13	0	low	[INTRACHROMOSOMAL[chr16:0.15Mb]],duplication/5'-5'	NPIPA1	NA	AC136443.2	NA	NA	NA	NA	NA	NA
15:69684442	15:69563116	PCAT29--DRAIC	BS_03FT4S8B	ARRIBA	other	2	1	high	[INTRACHROMOSOMAL[chr15:0.02Mb],LOCAL_REARRANGEMENT:+:[20689]],duplication	PCAT29	NA	DRAIC	NA	NA	NA	NA	NA	NA
15:69684442	15:69548354	PCAT29--DRAIC	BS_03FT4S8B	ARRIBA	other	1	1	medium	[INTRACHROMOSOMAL[chr15:0.02Mb],LOCAL_REARRANGEMENT:+:[20689]],duplication	PCAT29	NA	DRAIC	NA	NA	NA	NA	NA	NA
15:69677640	15:69548354	PCAT29--DRAIC	BS_03FT4S8B	ARRIBA	other	1	1	medium	[INTRACHROMOSOMAL[chr15:0.02Mb],LOCAL_REARRANGEMENT:+:[20689]],duplication	PCAT29	NA	DRAIC	NA	NA	NA	NA	NA	NA
15:69677640	15:69563116	PCAT29--DRAIC	BS_03FT4S8B	ARRIBA	other	1	1	medium	[INTRACHROMOSOMAL[chr15:0.02Mb],LOCAL_REARRANGEMENT:+:[20689]],duplication	PCAT29	NA	DRAIC	NA	NA	NA	NA	NA	NA
15:56394834	15:56389318	TEX9--TEX9	BS_03FT4S8B	ARRIBA	in-frame	20	6	low	[SELFIE,[\ChimerSeq\],INTRACHROMOSOMAL[chr15:0.20Mb]],duplication/non-canonical_splicing	TEX9	NA	TEX9	NA	NA	NA	NA	NA	NA
22:29292169	11:128781958	EWSR1--FLI1	BS_0448A413	ARRIBA	in-frame	6	0	high	[CCLE,Klijn_CellLines,ChimerKB,ChimerSeq,FA_CancerSupp,ChimerPub,Mitelman,Cosmic,INTERCHROMOSOMAL[chr22--chr11]],translocation	EWSR1	NA	FLI1	NA	CosmicCensus, Oncogene	CosmicCensus, Oncogene, TranscriptionFactor	NA	NA	NA
16:29082041	4:113174416	AC009093.3--ANK2	BS_044XZ8ST	ARRIBA	other	61	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation	AC009093.3	NA	ANK2	NA	NA	NA	NA	NA	NA
16:29082041	4:113174416	AC009093.9--ANK2	BS_044XZ8ST	ARRIBA	other	61	0	medium	[INTERCHROMOSOMAL[chr16--chr4]],translocation/3'-3'	AC009093.9	NA	ANK2	NA	NA	NA	NA	NA	NA
15:93593359	15:93553605	AC110023.1--AC091078.1	BS_044XZ8ST	ARRIBA	other	2	1	low	[INTRACHROMOSOMAL[chr15:0.02Mb],LOCAL_REARRANGEMENT:+:[20384]],duplication	AC110023.1	NA	AC091078.1	NA	NA	NA	NA	NA	NA
20:46474501	20:46504740	AL031686.1--ZNF334	BS_044XZ8ST	ARRIBA	other	1	0	low	[INTRACHROMOSOMAL[chr20:0.00Mb],LOCAL_REARRANGEMENT:-:[2899]],duplication	AL031686.1	NA	ZNF334	NA	NA	TranscriptionFactor	NA	NA	NA
20:46485529	20:46504740	AL031686.1--ZNF334	BS_044XZ8ST	ARRIBA	other	1	0	low	[INTRACHROMOSOMAL[chr20:0.00Mb],LOCAL_REARRANGEMENT:-:[2899]],duplication	AL031686.1	NA	ZNF334	NA	NA	TranscriptionFactor	NA	NA	NA
1:210919640	1:210920069	AL590132.1--KCNH1	BS_044XZ8ST	ARRIBA	frameshift	3	1	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	AL590132.1	NA	KCNH1	NA	NA	Oncogene	NA	NA	NA
1:211103496	1:211107377	AL590132.1--KCNH1	BS_044XZ8ST	ARRIBA	in-frame	1	0	low	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	AL590132.1	NA	KCNH1	NA	NA	Oncogene	NA	NA	NA
1:211018864	1:211090690	AL590132.1--KCNH1	BS_044XZ8ST	ARRIBA	frameshift	9	1	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	AL590132.1	NA	KCNH1	NA	NA	Oncogene	NA	NA	NA
1:211018864	1:211082898	AL590132.1--KCNH1	BS_044XZ8ST	ARRIBA	frameshift	3	0	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	AL590132.1	NA	KCNH1	NA	NA	Oncogene	NA	NA	NA
1:211018864	1:211019256	AL590132.1--KCNH1	BS_044XZ8ST	ARRIBA	in-frame	2	0	medium	[INTRACHROMOSOMAL[chr1:0.28Mb]],duplication	AL590132.1	NA	KCNH1	NA	NA	Oncogene	NA	NA	NA
