Kids_First_Biospecimen_ID	chrom	start	end	number_DEL	number_DUP	number_h2hINV	number_t2tINV	number_TRA	clusterSize_including_TRA	number_SVs_sample	number_CNV_segments	pval_fragment_joins	chr_breakpoint_enrichment	pval_exp_chr	pval_exp_cluster	max_number_oscillating_CN_segments_2_states	max_number_oscillating_CN_segments_3_states	number_CN_segments_chr	max_number_oscillating_CN_segments_2_states_chr	max_number_oscillating_CN_segments_3_states_chr	inter_number_DEL	inter_number_h2hINV	inter_number_t2tINV	inter_number_DUP	inter_pval_fragment_joins	inter_other_chroms	inter_other_chroms_coords_all	fdr_fragment_joins	fdr_chr_breakpoint_enrichment	fdr_exp_cluster	call_any_conf	call_high_conf	call_low_conf
BS_K07KNTFY	1	8900398	202814551	3	1	1	1	3	9	102	1	0.549668182603777	0.000485236349522237	NA	9.26569063919302e-06	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.618291523145437	0.00524860257879536	1.26037024635144e-05	0	0	0
BS_K07KNTFY	2	25918062	219191463	4	1	0	1	8	14	102	3	0.462520518296266	2.47740670914175e-09	6.2967134449643e-05	2.22044604925031e-16	NA	NA	5	3	5	0	0	0	0	NA		 	0.610952623291672	1.08488228128685e-07	6.13197614463948e-16	0	0	0
BS_K07KNTFY	3	47767424	196809416	4	0	0	0	1	5	102	3	0.035110115675981	0.0700882072292549	NA	9.15512110566397e-12	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	0.179558000445871	1.75558876632957e-11	0	0	0
BS_K07KNTFY	4	25328655	25329151	1	0	0	0	0	1	102	1	0.391625176271089	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	NA	NA	0	0	0
BS_K07KNTFY	5	692927	784280	1	0	0	0	0	1	102	1	0.391625176271089	0.668720450908864	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	0.738853625669971	NA	0	0	0
BS_K07KNTFY	6	3156185	60660195	1	2	0	0	1	4	102	1	0.261464129949111	0.0600355585068951	NA	0.00743473468154454	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	0.164736337301127	0.00810601396284243	0	0	0
BS_K07KNTFY	7	48861586	48910643	0	0	0	1	0	1	102	1	0.391625176271089	0.391713087857632	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	0.515737395094788	NA	0	0	0
BS_K07KNTFY	8	1235464	22451386	3	0	1	0	1	5	102	5	0.283886130759827	0.0508957937000793	NA	0.176443034238412	3	3	9	9	9	0	0	0	0	NA		 	0.519796354472894	0.150973627148655	0.178959654378104	0	0	0
BS_K07KNTFY	9	70146716	129591701	2	0	0	0	0	2	102	1	0.111610225094713	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	1	NA	0	0	0
BS_K07KNTFY	10	19707588	49803042	3	0	0	0	2	5	102	1	0.035110115675981	0.0050302983793779	NA	3.73479025483903e-13	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	0.0311697897467682	7.48712846702264e-13	0	0	0
BS_K07KNTFY	11	54349635	54416005	0	3	0	0	0	3	102	1	0.0292908865348883	1	NA	0	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.507358120805389	1	0	0	0	0
BS_K07KNTFY	12	15360699	123016521	4	0	0	0	2	6	102	1	0.0100534444728365	0.00219493128448362	NA	2.80814009800956e-06	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.296622728666443	0.0171161123416778	3.95861159190775e-06	0	0	0
BS_K07KNTFY	13	48959282	48962405	1	0	0	0	0	1	102	1	0.391625176271089	0.0534239765928094	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	0.154211563848861	NA	0	0	0
BS_K07KNTFY	14	105999391	106142448	1	1	0	0	0	2	102	1	0.572406704470879	0.550119070993054	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.618291523145437	0.638313808346913	NA	0	0	0
BS_K07KNTFY	15	37307822	37404200	0	1	0	0	0	1	102	1	0.391625176271089	0.505001746593193	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	0.604641960622089	NA	0	0	0
BS_K07KNTFY	16	15926692	24617198	2	0	0	0	0	2	102	1	0.111610225094713	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	NA	NA	0	0	0
BS_K07KNTFY	17	17324421	62545554	3	0	1	0	0	4	102	1	0.111610225094713	0.496360964971107	NA	2.09993450994705e-06	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	0.597037233258267	2.98491523901414e-06	0	0	0
BS_K07KNTFY	18	NA	NA	0	0	0	0	0	0	102	NA	NA	0.492989826873968	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	0.594078304568527	NA	0	0	0
BS_K07KNTFY	19	53704839	54308469	2	1	1	1	0	5	102	3	0.896432373341912	0.0863077198768023	NA	0	NA	NA	3	3	3	0	0	0	0	NA		 	0.908485245588525	0.202096448618147	0	0	0	0
BS_K07KNTFY	20	35128135	35129156	1	0	0	0	0	1	102	1	0.391625176271089	0.100331337586557	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	0.223942293251395	NA	0	0	0
BS_K07KNTFY	21	36187062	36187296	1	0	0	0	0	1	102	1	0.391625176271089	0.26502771442947	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	0.412479387420599	NA	0	0	0
BS_K07KNTFY	22	22707732	22765972	1	0	0	0	0	1	102	1	0.391625176271089	0.00316714126928176	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	0.0224453924736055	NA	0	0	0
BS_K07KNTFY	X	82726771	131840712	1	0	1	0	0	2	102	1	0.572406704470879	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.618291523145437	1	NA	0	0	0
BS_TE8QFF7T	1	150032773	154425790	4	1	1	1	0	7	33	1	0.277309056900112	0.55886507573627	NA	0	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	0.645745843146684	0	0	0	0
BS_TE8QFF7T	2	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	11	11	11	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_TE8QFF7T	3	NA	NA	0	0	0	0	0	0	33	NA	NA	0.000315809345388255	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	0.00380137279741185	NA	0	0	0
BS_TE8QFF7T	4	49322626	49329829	0	1	0	0	0	1	33	1	0.391625176271089	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	NA	NA	0	0	0
BS_TE8QFF7T	5	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_TE8QFF7T	6	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_TE8QFF7T	7	67154445	96920503	1	0	0	1	0	2	33	9	0.572406704470879	0.424358153580904	NA	NA	7	7	22	22	22	0	0	0	0	NA		 	0.618291523145437	0.544232028240137	NA	0	0	0
BS_TE8QFF7T	8	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_TE8QFF7T	9	NA	NA	0	0	0	0	0	0	33	NA	NA	0.329240600691643	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	0.468871215837534	NA	0	0	0
BS_TE8QFF7T	10	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_TE8QFF7T	11	89051212	89051666	1	0	0	0	0	1	33	1	0.391625176271089	0.000784214600092005	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	0.00767601546845686	NA	0	0	0
BS_TE8QFF7T	12	40503728	40512080	1	0	0	0	0	1	33	1	0.391625176271089	0.0769104541052132	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	0.191095543408603	NA	0	0	0
BS_TE8QFF7T	13	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_TE8QFF7T	14	46358878	46850750	1	0	0	0	0	1	33	1	0.391625176271089	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	NA	NA	0	0	0
BS_TE8QFF7T	15	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_TE8QFF7T	16	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_TE8QFF7T	17	51168594	51168886	1	0	0	0	0	1	33	1	0.391625176271089	0.239940217140129	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	0.388995495007122	NA	0	0	0
BS_TE8QFF7T	18	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_TE8QFF7T	19	29649238	54425379	3	1	0	0	2	6	33	3	0.343030146138244	0.000387645486216378	NA	4.44089209850063e-16	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	0.00442980275193322	1.06249381048239e-15	0	0	0
BS_TE8QFF7T	20	53701900	53702203	1	0	0	0	0	1	33	1	0.391625176271089	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	NA	NA	0	0	0
BS_TE8QFF7T	21	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_TE8QFF7T	22	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_TE8QFF7T	X	154294280	154294587	1	0	0	0	0	1	33	1	0.391625176271089	0.0117891153275806	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	0.0593784655234996	NA	0	0	0
BS_2VB8649B	1	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_2VB8649B	2	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_2VB8649B	3	146667455	146672520	1	0	0	0	0	1	5	1	0.391625176271089	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	NA	NA	0	0	0
BS_2VB8649B	4	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_2VB8649B	5	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_2VB8649B	6	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_2VB8649B	7	NA	NA	0	0	0	0	0	0	5	NA	NA	0.104572410548751	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	0.230320943537674	NA	0	0	0
BS_2VB8649B	8	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_2VB8649B	9	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_2VB8649B	10	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_2VB8649B	11	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_2VB8649B	12	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_2VB8649B	13	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_2VB8649B	14	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_2VB8649B	15	NA	NA	0	0	0	0	0	0	5	NA	NA	0.0547029701661836	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	0.15650757139696	NA	0	0	0
BS_2VB8649B	16	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_2VB8649B	17	40138792	40139245	1	0	0	0	0	1	5	1	0.391625176271089	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	0.519796354472894	NA	NA	0	0	0
BS_2VB8649B	18	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_2VB8649B	19	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
BS_2VB8649B	20	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	NA	NA	NA	0	0	0
