chr	chromosome_arm	dominant_status	gistic_arm_status
chr12	12p	gain	neutral
chr12	12q	gain	neutral
chr16	16p	gain	neutral
chr17	17q	gain	neutral
chr18	18p	gain	neutral
chr2	2p	gain	neutral
chr2	2q	gain	neutral
chr20	20q	gain	neutral
chr4	4p	gain	neutral
chr5	5p	gain	neutral
chr5	5q	gain	neutral
chr7	7p	gain	neutral
chr9	9p	gain	neutral
chr1	1p	loss	neutral
chr1	1q	loss	neutral
chr10	10p	loss	neutral
chr10	10q	loss	neutral
chr11	11p	loss	neutral
chr13	13p	loss	neutral
chr13	13q	loss	neutral
chr14	14p	loss	neutral
chr14	14q	loss	neutral
chr15	15p	loss	neutral
chr15	15q	loss	neutral
chr16	16q	loss	neutral
chr17	17p	loss	neutral
chr18	18q	loss	neutral
chr19	19p	loss	neutral
chr19	19q	loss	neutral
chr20	20p	loss	neutral
chr21	21p	loss	neutral
chr21	21q	loss	neutral
chr22	22p	loss	neutral
chr22	22q	loss	neutral
chr3	3p	loss	neutral
chr3	3q	loss	neutral
chr4	4q	loss	neutral
chr6	6p	loss	neutral
chr6	6q	loss	neutral
chr8	8p	loss	neutral
chr8	8q	loss	neutral
chr9	9q	loss	neutral
chrX	Xp	loss	loss
chrX	Xq	loss	loss
chrY	Yp	loss	loss
chrY	Yq	loss	loss
chr11	11q	neutral	neutral
chr7	7q	neutral	neutral
chr10_GL383545v1_alt	NA	uncallable	NA
chr10_GL383546v1_alt	NA	uncallable	NA
chr10_KI270824v1_alt	NA	uncallable	NA
chr10_KI270825v1_alt	NA	uncallable	NA
chr11_GL383547v1_alt	NA	uncallable	NA
chr11_JH159136v1_alt	NA	uncallable	NA
chr11_JH159137v1_alt	NA	uncallable	NA
chr11_KI270721v1_random	NA	uncallable	NA
chr11_KI270826v1_alt	NA	uncallable	NA
chr11_KI270827v1_alt	NA	uncallable	NA
chr11_KI270829v1_alt	NA	uncallable	NA
chr11_KI270830v1_alt	NA	uncallable	NA
chr11_KI270831v1_alt	NA	uncallable	NA
chr11_KI270832v1_alt	NA	uncallable	NA
chr11_KI270902v1_alt	NA	uncallable	NA
chr11_KI270903v1_alt	NA	uncallable	NA
chr11_KI270927v1_alt	NA	uncallable	NA
chr12_GL383549v1_alt	NA	uncallable	NA
chr12_GL383550v2_alt	NA	uncallable	NA
chr12_GL383551v1_alt	NA	uncallable	NA
chr12_GL383552v1_alt	NA	uncallable	NA
chr12_GL383553v2_alt	NA	uncallable	NA
chr12_GL877875v1_alt	NA	uncallable	NA
chr12_GL877876v1_alt	NA	uncallable	NA
chr12_KI270833v1_alt	NA	uncallable	NA
chr12_KI270834v1_alt	NA	uncallable	NA
chr12_KI270835v1_alt	NA	uncallable	NA
chr12_KI270836v1_alt	NA	uncallable	NA
chr12_KI270837v1_alt	NA	uncallable	NA
chr12_KI270904v1_alt	NA	uncallable	NA
chr13_KI270838v1_alt	NA	uncallable	NA
chr13_KI270839v1_alt	NA	uncallable	NA
chr13_KI270840v1_alt	NA	uncallable	NA
chr13_KI270841v1_alt	NA	uncallable	NA
chr13_KI270842v1_alt	NA	uncallable	NA
chr13_KI270843v1_alt	NA	uncallable	NA
chr14_GL000009v2_random	NA	uncallable	NA
chr14_GL000194v1_random	NA	uncallable	NA
chr14_GL000225v1_random	NA	uncallable	NA
chr14_KI270722v1_random	NA	uncallable	NA
chr14_KI270723v1_random	NA	uncallable	NA
chr14_KI270724v1_random	NA	uncallable	NA
chr14_KI270725v1_random	NA	uncallable	NA
chr14_KI270726v1_random	NA	uncallable	NA
chr14_KI270844v1_alt	NA	uncallable	NA
chr14_KI270845v1_alt	NA	uncallable	NA
chr14_KI270846v1_alt	NA	uncallable	NA
chr14_KI270847v1_alt	NA	uncallable	NA
chr15_GL383554v1_alt	NA	uncallable	NA
chr15_GL383555v2_alt	NA	uncallable	NA
chr15_KI270727v1_random	NA	uncallable	NA
chr15_KI270848v1_alt	NA	uncallable	NA
chr15_KI270849v1_alt	NA	uncallable	NA
chr15_KI270850v1_alt	NA	uncallable	NA
chr15_KI270851v1_alt	NA	uncallable	NA
chr15_KI270852v1_alt	NA	uncallable	NA
chr15_KI270905v1_alt	NA	uncallable	NA
