Kids_First_Biospecimen_ID	status_latest	region	region_type	status_previous
BS_00TRPEQX	gain	CSNK1G1	gene	loss
BS_00TRPEQX	loss	ZNF609	gene	gain
BS_00TRPEQX	gain	ZNF609	gene	loss
BS_00TRPEQX	gain	LRRK1	gene	loss
BS_00TRPEQX	gain	TMC7	gene	loss
BS_00TRPEQX	gain	SYT17	gene	loss
BS_00TRPEQX	gain	KRTAP1-4	gene	loss
BS_00TRPEQX	gain	CCDC200	gene	loss
BS_00TRPEQX	gain	EFCAB3	gene	loss
BS_060QB7XB	gain	20p	arm	loss
BS_060QB7XB	gain	20q	arm	loss
BS_060QB7XB	unstable	21q	arm	loss
BS_060QB7XB	gain	5p	arm	loss
BS_060QB7XB	unstable	5q	arm	loss
BS_060QB7XB	unstable	6q	arm	loss
BS_060QB7XB	gain	7p	arm	loss
BS_060QB7XB	unstable	7q	arm	loss
BS_060QB7XB	gain	6p25.2	cytoband	loss
BS_060QB7XB	gain	6p25.1	cytoband	loss
BS_060QB7XB	gain	6p24.3	cytoband	loss
BS_060QB7XB	gain	6p24.2	cytoband	loss
BS_060QB7XB	gain	6p24.1	cytoband	loss
BS_060QB7XB	gain	6p23	cytoband	loss
BS_060QB7XB	unstable	6p22.3	cytoband	loss
BS_060QB7XB	gain	6p21.31	cytoband	loss
BS_060QB7XB	gain	6p21.2	cytoband	loss
BS_060QB7XB	gain	6p21.1	cytoband	loss
BS_060QB7XB	gain	6p12.3	cytoband	loss
BS_060QB7XB	gain	6p12.2	cytoband	loss
BS_060QB7XB	gain	6p12.1	cytoband	loss
BS_060QB7XB	gain	IRF4	gene	loss
BS_060QB7XB	gain	FOXQ1	gene	loss
BS_060QB7XB	gain	FOXF2	gene	loss
BS_060QB7XB	gain	FOXC1	gene	loss
BS_060QB7XB	gain	EXOC2	gene	loss
BS_060QB7XB	gain	HUS1B	gene	loss
BS_060QB7XB	gain	MIR6720	gene	loss
BS_060QB7XB	gain	GMDS	gene	loss
