Kids_First_Biospecimen_ID	chr19_amplification
BS_2Z9JQDPV	Yes
BS_02W5H7K5	No
BS_MGY2V5N4	No
BS_BM95DGCQ	No
BS_KJQXZ8GK	No
BS_80X7AVCP	No
BS_P8WN8XEQ	No
BS_VQEPFE1P	No
BS_NHMPQ8Q1	No
BS_H50HR85Y	No
BS_R1RMKH1B	No
BS_STNH7YSX	No
BS_KBPBCWA0	No
BS_8D52JK1Q	No
BS_CXN0498B	No
BS_5KK9P7XD	Yes
BS_Z9NCH2XA	No
BS_MS87PMR7	No
BS_KJTW1RBN	No
BS_K07KNTFY	Yes
BS_9R82A3VT	No
BS_5J5VH3X0	No
BS_8Q8CAY84	No
BS_AHT9PKVE	No
BS_3ZASRA3A	No
BS_1135HC0V	No
BS_BVD7PWP5	No
BS_B73JK7T1	No
BS_BS5X4H0Y	No
BS_4Z6F1HJZ	No
BS_6TMPZKSZ	No
BS_F0GNWEJJ	Yes
BS_H83DTMT2	No
BS_Z4S81HG1	No
BS_886M7JMG	No
BS_69VS8PS1	Yes
BS_MCM78YPC	Yes
BS_Q807ENGY	No
BS_TE8QFF7T	Yes
BS_JX1PK0VW	No
BS_W50WEJE7	No
BS_XKXDH0YJ	No
BS_N5VYY66W	No
BS_TPX7YY57	No
BS_KP0YNTAK	No
BS_4DY83R02	No
BS_N9BF56FP	No
BS_4XPPZTGG	No
BS_N9SMBR24	No
BS_JC8YV5V9	No
BS_V2MDX7HG	No
BS_TF6H437Q	No
BS_AQMKA8NC	No
BS_CK7CPM73	No
BS_947CK40E	No
BS_32VQRFDS	No
BS_4NPEMNAD	No
BS_BFDEZK1C	No
