FusionName	Sample	zscore_Gene1A	zscore_Gene1B	zscore_Gene2A	zscore_Gene2B	note_expression_Gene1A	note_expression_Gene1B	note_expression_Gene2A	note_expression_Gene2B	LeftBreakpoint	RightBreakpoint	Caller	Fusion_Type	JunctionReadCount	SpanningFragCount	Confidence	annots	Gene1A	Gene2A	Gene1B	Gene2B	Gene1A_anno	Gene1B_anno	Gene2A_anno	Gene2B_anno	Fusion_anno
5_8S_rRNA(721981)/AC116618.1(630526)--WRAP73	BS_RCCN63K6	-0.0294627825494395	-0.0933181169601952	NA	NA	no change	no change	NA	NA	22:11971940	1:3638822	ARRIBA	other	3	0	medium	[],translocation	5_8S_rRNA	AC116618.1	WRAP73	NA	NA	NA	NA	NA	NA
AAMDC--PRDM11	BS_CZ3NA7KV	-1.58498672030824	1.62135370461607	NA	NA	no change	no change	NA	NA	11:77842628	11:45141997	ARRIBA	frameshift	8	1	high	[INTRACHROMOSOMAL[chr11:32.59Mb]],inversion/3'-3'	AAMDC	NA	PRDM11	NA	NA	TumorSuppressorGene	NA	NA	NA
AASS--AC091893.1(24499)/BTG4P1(12571)	BS_6JHXXVR7	2.58895379168952	NA	NA	NA	differentially expressed	NA	NA	NA	7:122126375	5:24774271	ARRIBA	frameshift	134	17	high	[],translocation	AASS	NA	AC091893.1	BTG4P1	NA	NA	NA	NA	NA
AASS--BTG4P1	BS_6JHXXVR7	2.58895379168952	NA	NA	NA	differentially expressed	NA	NA	NA	7:122126375	5:24786870	ARRIBA	frameshift	4	0	medium	[INTERCHROMOSOMAL[chr7--chr5]],translocation	AASS	NA	BTG4P1	NA	NA	NA	NA	NA	NA
AASS--BTG4P1(16154)/SNORD29(8303)	BS_6JHXXVR7	2.58895379168952	NA	NA	NA	differentially expressed	NA	NA	NA	7:122126375	5:24803178	ARRIBA	frameshift	12	4	high	[],translocation	AASS	NA	BTG4P1	SNORD29	NA	NA	NA	NA	NA
AASS--YTHDC2(324791)/AC106789.1(135930)	BS_6JHXXVR7	2.58895379168952	0.332208892220991	NA	NA	differentially expressed	no change	NA	NA	7:122126375	5:113920076	ARRIBA	frameshift	8	0	high	[],translocation	AASS	NA	YTHDC2	AC106789.1	NA	NA	NA	NA	NA
ABCA9--ABCA9(1072)/ABCA6(16566)	BS_6JHXXVR7	8.56366462855168	8.56366462855168	NA	6.89097264364157	differentially expressed	differentially expressed	NA	differentially expressed	17:68993016	17:69062136	ARRIBA	frameshift	1	0	low	[],duplication	ABCA9	NA	ABCA9	ABCA6	NA	NA	NA	NA	NA
ABCB7--ABCB7(22051)/BUD31P2(22708)	BS_TNRHHYNC	0.820880109147533	0.820880109147533	NA	0.299176332437366	no change	no change	NA	no change	X:75098942	X:75178783	ARRIBA	frameshift	2	1	high	[],duplication	ABCB7	NA	ABCB7	BUD31P2	NA	NA	NA	NA	NA
ABCC4--CLDN10-AS1	BS_PN2CE34A	3.69120650231892	20.2460808344958	NA	NA	differentially expressed	differentially expressed	NA	NA	13:95301241	13:95497125	ARRIBA	frameshift	3	0	medium	[INTRACHROMOSOMAL[chr13:0.18Mb]],duplication	ABCC4	NA	CLDN10-AS1	NA	NA	NA	NA	NA	NA
ABCC5--CADM2	BS_FAQQ0GCQ	-1.31610860586718	2.10380211421911	NA	NA	no change	differentially expressed	NA	NA	3:184014264	3:85323893	ARRIBA	frameshift	5	0	high	[INTRACHROMOSOMAL[chr3:97.85Mb]],deletion/5'-5'	ABCC5	NA	CADM2	NA	NA	TumorSuppressorGene	NA	NA	NA
ABCC8--PTH(111190)/HMGN2P36(2992)	BS_B1C6GZ84	-2.17747024545642	-0.125014002859089	NA	-0.0592010336834036	differentially expressed	no change	NA	no change	11:17427867	11:13607371	ARRIBA	frameshift	2	1	high	[],deletion	ABCC8	NA	PTH	HMGN2P36	NA	Oncogene	NA	NA	NA
ABCC9--ABCC9	BS_3X9WMZGJ	2.70890297110969	2.70890297110969	NA	NA	differentially expressed	differentially expressed	NA	NA	12:21815763	12:21894174	ARRIBA	frameshift	4	0	low	[SELFIE,INTRACHROMOSOMAL[chr12:0.15Mb]],duplication/non-canonical_splicing	ABCC9	NA	ABCC9	NA	NA	NA	NA	NA	NA
ABCC9--ABCC9	BS_7BTZQKYY	6.88613926028842	6.88613926028842	NA	NA	differentially expressed	differentially expressed	NA	NA	12:21815763	12:21894174	ARRIBA	frameshift	23	2	low	[SELFIE,INTRACHROMOSOMAL[chr12:0.15Mb]],duplication/non-canonical_splicing	ABCC9	NA	ABCC9	NA	NA	NA	NA	NA	NA
ABCC9--ABCC9	BS_X67GTEM6	5.72759550712903	5.72759550712903	NA	NA	differentially expressed	differentially expressed	NA	NA	12:21815763	12:21894174	ARRIBA	in-frame	7	0	low	[SELFIE,INTRACHROMOSOMAL[chr12:0.15Mb]],duplication/non-canonical_splicing	ABCC9	NA	ABCC9	NA	NA	NA	NA	NA	NA
ABCD4--ZNF521(67999)/RN7SL97P(398045)	BS_QWTE1CWR	-0.391502078639608	0.346252993600225	NA	-0.0294627825494395	no change	no change	NA	no change	14:74295148	18:25420189	ARRIBA	frameshift	2	0	medium	[],translocation	ABCD4	NA	ZNF521	RN7SL97P	NA	CosmicCensus, Oncogene, TranscriptionFactor	NA	NA	NA
ABHD13--MYO16	BS_23QW0BBA	13.8877476270207	17.0127688625013	NA	NA	differentially expressed	differentially expressed	NA	NA	13:108218659	13:108665886	ARRIBA	other	5	0	medium	[INTRACHROMOSOMAL[chr13:0.36Mb]],deletion	ABHD13	NA	MYO16	NA	NA	NA	NA	NA	NA
ABHD13--MYO16	BS_23QW0BBA	13.8877476270207	17.0127688625013	NA	NA	differentially expressed	differentially expressed	NA	NA	13:108218659	13:108855443	ARRIBA	other	3	0	low	[INTRACHROMOSOMAL[chr13:0.36Mb]],deletion	ABHD13	NA	MYO16	NA	NA	NA	NA	NA	NA
ABHD13--MYO16	BS_23QW0BBA	13.8877476270207	17.0127688625013	NA	NA	differentially expressed	differentially expressed	NA	NA	13:108218659	13:108992376	ARRIBA	other	1	0	low	[INTRACHROMOSOMAL[chr13:0.36Mb]],deletion	ABHD13	NA	MYO16	NA	NA	NA	NA	NA	NA
ABHD8--GABRB1	BS_TGS109T3	0.296259202853674	2.53373825143893	NA	NA	no change	differentially expressed	NA	NA	19:17300856	4:47320127	ARRIBA	in-frame	27	2	high	[INTERCHROMOSOMAL[chr19--chr4]],translocation	ABHD8	NA	GABRB1	NA	NA	NA	NA	NA	NA
ABI1--SLX4IP	BS_W3R88RFP	0.361508138749733	2.7036781641044	NA	NA	no change	differentially expressed	NA	NA	10:26823192	20:10603326	ARRIBA	frameshift	2	1	medium	[INTERCHROMOSOMAL[chr10--chr20]],translocation/5'-5'	ABI1	NA	SLX4IP	NA	CosmicCensus, Oncogene	NA	NA	NA	NA
ABI3BP--ABI3BP	BS_61E80SD6	1.17716332171959	1.17716332171959	NA	NA	no change	no change	NA	NA	3:100846372	3:100926481	ARRIBA	in-frame	4	0	low	[SELFIE,INTRACHROMOSOMAL[chr3:0.24Mb]],duplication/non-canonical_splicing	ABI3BP	NA	ABI3BP	NA	NA	NA	NA	NA	NA
ABL1--PTTG1	BS_YEQVW4ND	0.952659781428832	0.595917469186222	NA	NA	no change	no change	NA	NA	9:130855096	5:160422302	ARRIBA	frameshift	3	0	high	[INTERCHROMOSOMAL[chr9--chr5]],translocation	ABL1	NA	PTTG1	NA	Kinase, CosmicCensus, Oncogene	Oncogene	NA	NA	NA
ABLIM2--ATP8A1	BS_B1C6GZ84	-0.714350748208722	-0.811606858327841	NA	NA	no change	no change	NA	NA	4:7983264	4:42499335	ARRIBA	frameshift	6	2	high	[INTRACHROMOSOMAL[chr4:34.25Mb]],inversion/5'-5'	ABLIM2	NA	ATP8A1	NA	NA	NA	NA	NA	NA
ABR--AC134669.2	BS_6JHXXVR7	-1.26404565805495	NA	NA	NA	no change	NA	NA	NA	17:1083520	17:31305630	ARRIBA	frameshift	14	4	high	[INTRACHROMOSOMAL[chr17:30.08Mb]],duplication	ABR	NA	AC134669.2	NA	Oncogene	NA	NA	NA	NA
