FusionName	Fusion_Type	Gene_Symbol	Gene_Position	Fusion_anno	BreakpointLocation	annots	Kinase_domain_retained_Gene1A	Kinase_domain_retained_Gene1B	Reciprocal_exists_either_gene_kinase	Gene1A_anno	Gene1B_anno	Gene2A_anno	Gene2B_anno	Total_alterations_Over_Patients_in_dataset	Frequency_in_overall_dataset	Total_primary_tumors_mutated_Over_Primary_tumors_in_dataset	Frequency_in_primary_tumors	Total_relapse_tumors_mutated_Over_Relapse_tumors_in_dataset	Frequency_in_relapse_tumors
LINC01019--LINC01019/IRX1	other	LINC01019	Gene1A		Intergenic	[], duplication			FALSE					1/22	4.55%	0/18	0.00%	0/4	0.00%
MYO3A--MYO3A	frameshift	MYO3A	Gene1A		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr10:0.28Mb]], duplication/non-canonical_splicing	Yes	No	TRUE	Kinase, Kinase	Kinase, Kinase			1/22	4.55%	0/18	0.00%	0/4	0.00%
FOCAD--MLLT3	other	FOCAD	Gene1A		Genic	[CCLE, INTRACHROMOSOMAL[chr9:0.04Mb], LOCAL_INVERSION:+:-:[35766]], inversion			FALSE		CosmicCensus, Oncogene			1/22	4.55%	0/18	0.00%	0/4	0.00%
MLLT3--FOCAD	frameshift	MLLT3	Gene1A		Genic	[FA_CancerSupp, INTRACHROMOSOMAL[chr9:0.04Mb], LOCAL_INVERSION:-:+:[35766]], inversion			FALSE	CosmicCensus, Oncogene				1/22	4.55%	0/18	0.00%	0/4	0.00%
KIAA1549--KIAA1549	in-frame	KIAA1549	Gene1A		Intragenic	[SELFIE, [\ChimerSeq\], INTRACHROMOSOMAL[chr7:0.15Mb]], duplication/non-canonical_splicing			FALSE	CosmicCensus, Oncogene	CosmicCensus, Oncogene			1/22	4.55%	0/18	0.00%	0/4	0.00%
SMAD4/AC090330.1--LINC01630	other	SMAD4	Gene1A		Intergenic	[], deletion			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor				2/22	9.09%	0/18	0.00%	0/4	0.00%
ATP6V0E2--LINC01510/MET	frameshift	ATP6V0E2	Gene1A		Intergenic	[], inversion			FALSE					1/22	4.55%	0/18	0.00%	0/4	0.00%
KIAA1549--KIAA1549	frameshift	KIAA1549	Gene1A		Intragenic	[SELFIE, [\ChimerSeq\], INTRACHROMOSOMAL[chr7:0.15Mb]], duplication/non-canonical_splicing			FALSE	CosmicCensus, Oncogene	CosmicCensus, Oncogene			1/22	4.55%	0/18	0.00%	0/4	0.00%
LINC01019--LINC01019/IRX1	other	LINC01019	Gene1B		Intergenic	[], duplication			FALSE					1/22	4.55%	0/18	0.00%	0/4	0.00%
MYO3A--MYO3A	frameshift	MYO3A	Gene1B		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr10:0.28Mb]], duplication/non-canonical_splicing	Yes	No	TRUE	Kinase, Kinase	Kinase, Kinase			1/22	4.55%	0/18	0.00%	0/4	0.00%
