Hugo Symbol	Entrez Gene ID	GRCh37 Isoform	GRCh37 RefSeq	GRCh38 Isoform	GRCh38 RefSeq	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene	Is Tumor Suppressor Gene	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)
ABL1	25	ENST00000318560	NM_005157.4	ENST00000318560	NM_005157.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
AKT1	207	ENST00000349310	NM_001014431.1	ENST00000349310	NM_001014431.1	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
ALK	238	ENST00000389048	NM_004304.4	ENST00000389048	NM_004304.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
AMER1	139285	ENST00000330258	NM_152424.3	ENST00000374869	NM_152424.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
APC	324	ENST00000257430	NM_000038.5	ENST00000257430	NM_000038.5	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
AR	367	ENST00000374690	NM_000044.3	ENST00000374690	NM_000044.3	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
ARID1A	8289	ENST00000324856	NM_006015.4	ENST00000324856	NM_006015.4	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ASXL1	171023	ENST00000375687	NM_015338.5	ENST00000375687	NM_015338.5	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ATM	472	ENST00000278616	NM_000051.3	ENST00000278616	NM_000051.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ATRX	546	ENST00000373344	NM_000489.3	ENST00000373344	NM_000489.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
AXIN1	8312	ENST00000262320	NM_003502.3	ENST00000262320	NM_003502.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
BAP1	8314	ENST00000460680	NM_004656.3	ENST00000460680	NM_004656.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
BCL2	596	ENST00000333681	NM_000633.2	ENST00000333681	NM_000633.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
BCOR	54880	ENST00000378444	NM_001123385.1	ENST00000378444	NM_001123385.1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
BRAF	673	ENST00000288602	NM_004333.4	ENST00000646891	NM_004333.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
BRCA1	672	ENST00000357654	NM_007294.3	ENST00000357654	NM_007294.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
